,left_enterprise_name_code,left_enterprise_id,similarity,right_RequestId,right_RequestNameCode
62,"['0244010', '0104070', '0602270', '0222120', '0000000', '0402270', '0009060', '0000000', '0029210', '0222120', '0311960']",57159162-5,0.6234066,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
63,"['0002190', '0251000', '0000000', '0373020', '0302010', '0000000', '0353000', '0227720', '0600000', '0778020', '0602270']",MA102BWJ-9,0.62242115,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
64,"['0409040', '0442120', '0002270', '0269000', '0002990', '0415400', '0507160', '0174070', '0249000', '0540470']",31520567-6,0.6212186,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
65,"['0000000', '0000000', '0000000', '0121100', '0009060', '0000000', '0381170', '0405000', '0279120', '0228020']",10002435-X,0.62094533,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
66,"['0202320', '0371200', '0276020', '0311100', '0000000', '0002000', '0320000', '0000000', '0772470', '0287270']",MA5CPCGN-6,0.6196129,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
67,"['0000000', '0000000', '0000000', '0000000', '0252320', '0147270', '0377470', '0276040', '0000000', '0002000', '0320000', '0000000']",74599577-8,0.6191209,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
68,"['0409040', '0446060', '0002270', '0500000', '0321000', '0242100', '0101020']",75265410-3,0.61872053,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
69,"['0101010', '0444070', '0107170', '0428210', '0242100', '0904070', '0101020', '0269140', '0871040', '0949000', '0000000', '0211000', '0381570', '0000000']",69162434-8,0.6184318,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
70,"['0408000', '0101020', '0249000', '0540470', '0000000', '0211000', '0381570', '0000000']",68223019-5,0.6179455,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
71,"['0211000', '0381570', '0377200', '0343080', '0507160', '0281120', '0000000', '0209040', '0602400', '0000000']",83281712-8,0.6174481,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
